"corpus","preloaded/notenten23_tt1_1"
"subcorpus","-"
"concordance size","23547"
"query","Query:[ws(1, 129938434)]"
"Reference","Left","KWIC","Right"
"pbl.no","en svært gunstig avtale om mobilbruk som både barnehagen, alle ansatte og deres familie kan benytte. </s><s> Mosogn <coll>barnehage</coll>","byttet","til PBL forsikring og reduserte kostnadene med 23.000 kroner i året – og fikk attpåtil bedre vilkår. – Jeg visste at PBL"
"opn.no","slik at klubber gjerne ville ha eliteløpere, de var stolte av å ha dem i stallen og de ble gjerne lei seg når disse <coll>løperne</coll>","byttet","seg bort fra klubben. </s><s> Slik er det dessverre ikke lenger! </s><s> Kommentar </s><s> Følgende står det å lese: - I et hierarki allokeres"
"snl.no","som resistansene mellom polene deres. </s><s> Er spenningen som skal måles større enn den kjente, lar man <coll>spenningskildene</coll>","bytte","plass. </s><s> Regulerbar spenningsdeler </s><s> Potensiometer brukes også som betegnelse på en regulerbar spenningsdeler,"
"snl.no","det gamle gaullistpartiet, som fra 1976 til 2002 gikk under navnet Rassemblement pour la République (RPR). </s> <s> <coll>Partiet</coll>","byttet","navn til Les Républicains (LR) i mai 2015. </s><s> Faktaboks </s><s> fork. LR </s><s> fr. ''Republikanerne'' </s><s> Historikk </s><s> I forbindelse med"
"snl.no","Hønsvald ikke la noe mistillitsforslag bli vedtatt så lenge Arbeiderpartiet hadde flertall. </s><s> Dersom <coll>partiet</coll> ville","bytte","ut statsråder, skulle det skje på annen måte. </s><s> Uttalelsen var et uttrykk for Stortingets manglende innflytelse på"
"snl.no","festet til alger og lignende med en stilk. </s><s> Næringsopptaket skjer ved rørtentakler som fanger, fastholder og <coll>utsuger</coll>","byttet",". </s><s> Mange arter i salt- og ferskvann. </s><s> Enkelte er parasitter. </s><s> 4. </s><s> Spirotricha har høyredreide flimmerhårmembraneller"
"snl.no","to stofflag og hvor hvert lag har sine varp- og vefttråder. </s><s> Lagene som kan være i toskaft, kypert eller andre <coll>bindinger</coll>","bytter","plass for danning av mønster. </s><s> Ved siden av en slik delvis sammenbinding kan lagene også veves helt atskilt og bindes"
"snl.no","harver. </s><s> De nye stålgreipene var mye lettere å arbeide med enn de gamle tregreipene. </s><s> Etter hvert ble også <coll>gjødselsleden</coll>","byttet","ut med bikkvogner, som gjorde det enklere å kvitte seg med gjødsla på åkeren. </s><s> De første traktorene kom til landet først"
"snl.no","både i styrke og retning. </s><s> Den mest dramatiske forandringen er at hele feltet skifter retning, slik at sydpol og <coll>nordpol</coll>","bytter","plass. </s><s> Dette har skjedd flere ganger i løpet av Jordens historie. </s><s> Selve skiftet skjer forholdsvis hurtig, sett i en"
"far.no","om natten. </s><s> Dette sto han og hørte på. </s><s> Og da han hadde lagt seg i sengen med mor si, og det led litt utpå kvelden, ba han <coll>moren</coll>","bytte","rom med seg, for han frøs så, og ved veggen var det vel varmere, sa han. </s><s> Ja, det gjorde hun. </s><s> Om litt kom Store-Per med en øks i"
"kvf.no","mot skytteren før den vippes over til å peke i skyteretningen. </s><s> Modellene 1845 og 1849 fikk sine <coll>stangsikter</coll>","byttet","ut med vippesikter slik som M/1855 og M/1857. </s><s> M/1852 beholdt buevisiret. </s><s> Etter innskyting ble buevisiret merket med"
"ifi.no","ble ny med tekstiler i varme jordfarger og gråmalt bord. </s><s> Interiøret var preget av harde kontraster. </s><s> Brune <coll>sofaer</coll>","byttet","plass med den røde hjørnesofaen, og bordet er helt ugjenkjennelig i sin nye, mørkegrå drakt. </s><s> Veggene skaper rolige"
